domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,capital_finance,asset_capex_project,asset_capex_project_id,asset_capex_project_id,Asset Capital Expenditure (CAPEX) Project ID,BIGINT,Y,,,,master_data,Unique identifier for the capital expenditure project record. Primary key.,ISO 55000 Asset Management
asset,capital_finance,asset_capex_project,classification_id,classification_id,Asset Class Id (Foreign Key),BIGINT,,asset.classification.classification_id,,,master_data,Foreign key linking to asset.classification. Business justification: Capex project is associated with an asset class; replace free‑text asset_class with FK to classification for consistency.,Internal - LLM Generated Cross-Domain Link
asset,capital_finance,asset_capex_project,cost_center_id,cost_center_id,Cost Center ID,BIGINT,,finance.cost_center.cost_center_id,,,master_data,Cost center identifier for the organizational unit responsible for the capital project budget and expenditures.,SAP CO Controlling
asset,capital_finance,asset_capex_project,facility_id,facility_id,Facility Id (Foreign Key),BIGINT,,property.facility.facility_id,,,master_data,"Foreign key linking to property.facility. Business justification: CAPITAL PLANNING: Projects are tied to a specific facility for budgeting, regulatory approval, and cost allocation.",Internal - LLM Generated Cross-Domain Link
asset,capital_finance,asset_capex_project,procurement_contract_id,procurement_contract_id,Procurement Contract Id (Foreign Key),BIGINT,,supply.procurement_contract.procurement_contract_id,,,master_data,"Foreign key linking to supply.procurement_contract. Business justification: Capital Project Procurement Link; associates a capex project with its procurement contract, required for contract compliance, milestone reporting, and audit of project expenditures.",Internal - LLM Generated Cross-Domain Link
asset,capital_finance,asset_capex_project,project_manager_employee_id,project_manager_employee_id,Project Manager Employee Id (Foreign Key),BIGINT,,workforce.employee.employee_id,"confidential,pii",,master_data,"Foreign key linking to workforce.employee. Business justification: Capital project management requires linking each capex project to its responsible employee manager for budgeting, reporting, and regulatory compliance.",Internal - LLM Generated Cross-Domain Link
asset,capital_finance,asset_capex_project,site_id,site_id,Site Id (Foreign Key),BIGINT,,property.site.site_id,,,master_data,"Foreign key linking to property.site. Business justification: CAPITAL PLANNING: Large projects (e.g., new generation site) require site linkage for environmental permits and reporting.",Internal - LLM Generated Cross-Domain Link
asset,capital_finance,asset_capex_project,wbs_element_id,wbs_element_id,Work Breakdown Structure (WBS) Element ID,BIGINT,,finance.wbs_element.wbs_element_id,,,master_data,SAP Work Breakdown Structure element identifier linking the capital project to the financial and project management hierarchy.,SAP PS Project System
asset,capital_finance,asset_capex_project,actual_spend_to_date_amount,actual_spend_to_date_amount,Actual Spend to Date Amount,"DECIMAL(18,2)",,,,,master_data,"Cumulative actual capital expenditure incurred on the project as of the current reporting period, expressed in USD.",SAP FI Financial Accounting
asset,capital_finance,asset_capex_project,budget_variance_amount,budget_variance_amount,Budget Variance Amount,"DECIMAL(18,2)",,,,,master_data,"Difference between the total authorized budget and the forecast at completion, indicating over or under budget status, expressed in USD.",SAP PS Project System
