domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset_registry,facility,facility_id,facility_id,Facility Identifier,BIGINT,Y,,,,master_data,Primary key for facility,
asset,asset_registry,facility,location_id,location_id,Location Id (Foreign Key),BIGINT,,asset.location.location_id,,,master_data,Foreign key linking to asset.location. Business justification: Facilities are physical structures AT specific locations. The facility product has denormalized address and geospatial attributes that should be normalized to the location product. This eliminates dat,Internal - LLM Generated Cross-Domain Link
asset,asset_registry,facility,master_id,master_id,Master Id (Foreign Key),BIGINT,,asset.master.master_id,,,master_data,"Foreign key linking to asset.master. Business justification: Facility is a specialized asset type (generation plants, substations, service centers) and should link to its asset master record. The facility product has asset-like attributes (nameplate_capacity, i",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,facility,parent_facility_id,parent_facility_id,,BIGINT,,asset.facility.facility_id,self_ref_fk,,master_data,Self-referencing FK on facility (parent_facility_id),
asset,asset_registry,facility,accumulated_depreciation,accumulated_depreciation,,"DECIMAL(18,2)",,,,,master_data,"Total depreciation expense recognized to date on the facility, calculated using regulatory-approved depreciation rates and methods.",
asset,asset_registry,facility,asset_class,asset_class,,STRING,,,,,master_data,"High-level asset classification for financial and depreciation purposes, aligning with the utility chart of accounts and capital planning categories.",
asset,asset_registry,facility,capacity_unit_of_measure,capacity_unit_of_measure,,STRING,,,,,master_data,"Unit of measurement for the facility capacity. MW for electric generation, MVA for substations, MCF or MMBTU for gas facilities.",
asset,asset_registry,facility,construction_completion_date,construction_completion_date,,DATE,,,,,master_data,Date when construction was substantially completed and the facility was ready for commissioning or placed in service.,
asset,asset_registry,facility,construction_start_date,construction_start_date,,DATE,,,,,master_data,Date when physical construction or major capital project work began on the facility.,
asset,asset_registry,facility,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,Date and time when this facility record was first created in the enterprise data system.,
asset,asset_registry,facility,criticality_rating,criticality_rating,,STRING,,,,,master_data,"Risk-based classification indicating the importance of the facility to system reliability and customer service, used to prioritize maintenance and capital investment.",
asset,asset_registry,facility,depreciation_method,depreciation_method,,STRING,,,,,master_data,"Accounting method used to calculate periodic depreciation expense for this facility, as approved by regulatory authorities.",
asset,asset_registry,facility,description,description,,STRING,,,,,master_data,"Detailed narrative description of the facility, including its purpose, key equipment, and operational characteristics.",
asset,asset_registry,facility,environmental_permit_required,environmental_permit_required,,BOOLEAN,,,,,master_data,"Indicates whether the facility requires environmental permits or regulatory approvals for operation (e.g., air quality, water discharge, hazardous materials).",
asset,asset_registry,facility,facility_code,facility_code,,STRING,,,,,master_data,"Externally-known unique business identifier for the facility, used across operational systems and regulatory reporting. Typically assigned by the enterprise asset management system.",
asset,asset_registry,facility,facility_name,facility_name,,STRING,,,,,master_data,Official business name of the facility as registered with regulatory authorities and used in operational documentation.,
asset,asset_registry,facility,facility_subtype,facility_subtype,,STRING,,,,,master_data,"Detailed classification providing additional granularity within the facility type (e.g., coal plant, solar farm, switching station, distribution warehouse).",
asset,asset_registry,facility,facility_type,facility_type,,STRING,,,,,master_data,Classification of the facility based on its primary operational function within the utility infrastructure.,
asset,asset_registry,facility,ferc_account_code,ferc_account_code,,STRING,,,,,master_data,FERC Uniform System of Accounts classification code used for regulatory asset base reporting and depreciation schedules in rate cases.,
asset,asset_registry,facility,in_service_date,in_service_date,,DATE,,,,,master_data,Date when the facility was first placed into commercial operation and began serving customers or supporting utility operations.,
asset,asset_registry,facility,last_inspection_date,last_inspection_date,,DATE,,,,,master_data,Date of the most recent regulatory or operational inspection performed on the facility.,
asset,asset_registry,facility,last_modified_timestamp,last_modified_timestamp,,TIMESTAMP,,,,,master_data,Date and time when this facility record was most recently updated in the enterprise data system.,
asset,asset_registry,facility,nameplate_capacity,nameplate_capacity,,"DECIMAL(15,3)",,,,,master_data,"Maximum rated capacity of the facility in megawatts (MW) for generation facilities, or maximum throughput capacity for transmission and distribution facilities.",
